3, 14391, 1
3, 23767, 0
5, 28057, 1
5, 6793, 0
5, 28030, 1
5, 10134, 0
47, 21705, 1
47, 26881, 0
105, 7898, 1
105, 11674, 0
118, 13089, 1
118, 19245, 0
157, 22546, 1
157, 21052, 0
165, 5516, 1
165, 15563, 0
210, 2925, 1
210, 12142, 0
246, 42376, 1
246, 28031, 0
246, 15913, 1
246, 22127, 0
247, 42376, 1
247, 14847, 0
248, 42376, 1
248, 43750, 0
249, 42376, 1
249, 2817, 0
255, 42247, 1
255, 11574, 0
282, 25374, 1
282, 31679, 0
283, 25374, 1
283, 6510, 0
287, 22651, 1
287, 14717, 0
288, 14728, 1
288, 15999, 0
288, 32737, 1
288, 18526, 0
288, 22651, 1
288, 40966, 0
300, 27153, 1
300, 27822, 0
300, 12327, 1
300, 30324, 0
368, 7472, 1
368, 14808, 0
369, 7472, 1
369, 17613, 0
370, 7472, 1
370, 30785, 0
421, 7047, 1
421, 26889, 0
422, 7047, 1
422, 9712, 0
423, 7047, 1
423, 38040, 0
424, 7047, 1
424, 17495, 0
425, 7047, 1
425, 30835, 0
426, 7047, 1
426, 152, 0
427, 7047, 1
427, 21367, 0
428, 41824, 1
428, 9100, 0
428, 7047, 1
428, 35754, 0
429, 7047, 1
429, 39195, 0
432, 5576, 1
432, 33117, 0
433, 5576, 1
433, 17315, 0
434, 5576, 1
434, 39862, 0
457, 1968, 1
457, 39627, 0
457, 7157, 1
457, 19203, 0
457, 15246, 1
457, 11527, 0
458, 1968, 1
458, 40752, 0
458, 7157, 1
458, 29324, 0
458, 15246, 1
458, 8762, 0
459, 1968, 1
459, 40452, 0
459, 7157, 1
459, 37439, 0
459, 15246, 1
459, 7636, 0
460, 1968, 1
460, 18077, 0
460, 7157, 1
460, 38487, 0
460, 15246, 1
460, 43500, 0
461, 1968, 1
461, 41640, 0
461, 7157, 1
461, 40140, 0
461, 15246, 1
461, 3556, 0
471, 29721, 1
471, 31636, 0
474, 42036, 1
474, 24574, 0
508, 15112, 1
508, 22812, 0
519, 25383, 1
519, 6100, 0
526, 682, 1
526, 21223, 0
526, 14011, 1
526, 29325, 0
530, 195, 1
530, 39283, 0
538, 20111, 1
538, 40070, 0
575, 5823, 1
575, 24520, 0
582, 19470, 1
582, 5209, 0
619, 8091, 1
619, 42389, 0
621, 22658, 1
621, 26740, 0
664, 8418, 1
664, 37730, 0
671, 25070, 1
671, 5036, 0
699, 19180, 1
699, 3313, 0
748, 26777, 1
748, 34818, 0
769, 7530, 1
769, 38181, 0
769, 26091, 1
769, 2816, 0
820, 9926, 1
820, 41068, 0
828, 23512, 1
828, 33095, 0
828, 42705, 1
828, 13601, 0
859, 10606, 1
859, 18902, 0
876, 15826, 1
876, 40678, 0
877, 15826, 1
877, 15229, 0
878, 15826, 1
878, 1150, 0
879, 15826, 1
879, 11614, 0
880, 15826, 1
880, 33693, 0
890, 22230, 1
890, 42182, 0
891, 22230, 1
891, 10952, 0
892, 22230, 1
892, 7489, 0
918, 21048, 1
918, 15955, 0
919, 21048, 1
919, 25089, 0
920, 21048, 1
920, 28175, 0
921, 21048, 1
921, 9979, 0
922, 21048, 1
922, 11787, 0
925, 10544, 1
925, 35592, 0
943, 4721, 1
943, 42939, 0
961, 18245, 1
961, 35320, 0
972, 8131, 1
972, 39526, 0
973, 8131, 1
973, 43318, 0
984, 5800, 1
984, 14145, 0
